id,latitude,longitude,country,region,sub-region,city
2968866076713699,3.651294949900348,72.82224826219343,MV,North Central,,Mahibadhoo
792552144983254,38.0289734581,58.23521846894,TM,Ahal,,Abadan
1048482462350820,37.132134817275,72.732355425817,AF,Badakhshan,,Khandud
1523110134747236,55.585444821143,25.495861113402,LT,Utenos apskritis,Utena,Utena
837931920144780,13.297517763945,-61.228313355163,VC,Saint David,,Chateaubelair
373839510658989,25.158006017574,51.409598469506,QA,Al Wakrah,,Al Wukayr
203966514648186,39.044462198576,125.75420431832,KP,Pyongyang,,Pyongyang
1322389432013706,7.435105314907208,80.63116533197775,LK,Central,,Kandy
157373106331958,-8.7631615071759,160.69566743528,SB,Malaita,,Auki
458312391931633,6.2375106253174,1.2104281322936,TG,Maritime,,Lome
510236553670467,7.7018594495534,-5.0412782197133,CI,Vallee du Bandama,,Bouake
4537381269655437,-12.793579704798,45.271858507886,YT,Pamandzi,,Pamandzi
929995707797025,65.473359769866,-18.670471823789,IS,Northeast,,Dalvik
565758964389055,6.793181101683,-58.128173698297,GY,Demerara-Mahaica,,Georgetown
477563046797948,10.320770162958,-66.873297721696,VE,Miranda,,Caucaguita
1314759745659884,12.198001526742024,-69.07626402780737,CW,,,Dorp Soto
212370810484851,-11.344344273861,15.104067544359,AO,Cuanza Sul,,Uacu Cungo
2852013765012256,17.350825178913,-62.727573880504,KN,Saint Mary Cayon,,Cayon
4422496797782748,56.108776388904,10.184173053807,DK,Central Jutland,Arhus Kommune,Marslet
892651014800774,25.200160409829,51.451785026219,QA,Baladiyat ar Rayyan,,Ar Rayyan
777829342920912,6.6695966451966,-1.6316373162952,GH,Ashanti,,Kumasi
139332574880387,28.875105537629,32.662850056184,EG,As Suways,,Ain Sukhna
792018445083297,60.52963050505,17.591197762848,SE,Uppsala,Tierps Kommun,Karlholmsbruk
1164257950687271,47.45224564,-2.13337063,FR,Pays de la Loire,Departement de la Loire-Atlantique,Missillac
478557176754312,32.293297740507,-64.781755679568,BM,Hamilton city,,Hamilton
268606811705205,34.532265129494,69.164958850838,AF,Kabul,,Kabul
1176693216516870,42.16310320000001,21.68371939999752,MK,Kumanovo,,Bedinje
475590970312056,6.6745810866323,-1.6022842209891,GH,Ashanti,,Kumasi
371268094300384,-1.5003185397835,-78.024221104214,EC,Pastaza,,Puyo
2980661118882197,41.687971040403,44.818385303918,GE,T'bilisi,,Tbilisi
470161170981450,1.2981100066962,103.84563399342,SG,,,Singapore
185220580017694,-1.733648,38.202393,KE,Kitui,,Kitui
1331796673947524,-22.27291907075742,166.44964053767978,NC,South Province,Noumea,Noumea
173519298004414,32.907773349041,13.271739147593,LY,Tripoli,,Tagiura
1818040528375207,27.673912374776,85.33103008291,NP,Central Region,Bagmati Zone,Patan
511758196854635,7.7274242779021,-8.4020508087861,GN,Nzerekore,Lola,Lola
270840678805293,6.705131705169925,-11.329849661584376,LR,Grand Cape Mount,,Robertsport
552503646173040,15.870322480816238,120.60409860484626,PH,Central Luzon,Province of Tarlac,Salcedo
759610554735134,38.561458079667,68.774620159951,TJ,Dushanbe,,Dushanbe
815735859317998,1.3802687984107,103.94247459592,MY,Johor,,Kampung Pasir Gudang Baru
884893512796549,35.3620807181024,8.850180261163967,TN,Al Qasrayn,,Kasserine
919655055534695,15.539147535189,32.567377977901,SD,Khartoum,,Khartoum
473691440722321,-17.792853262031,31.064453944951,ZW,Harare,,Harare
314584293458705,37.608340751735,65.730689674656,AF,Jowzjan,,Khamyab
817893178858280,24.751147898993,46.670565545117,SA,Ar Riyad,,Riyadh
741905893171384,16.247511056806,-61.493080159281,GP,Guadeloupe,Guadeloupe,Les Abymes
464293144858546,18.105860205786,-76.716792696842,JM,Saint Andrew,,Gordon Town
391469091926615,31.184154781855,121.53698999569,CN,Shanghai Shi,,Huamu
587348258894514,21.451986600062,-71.14392897406,TC,,,Cockburn Town
332390238282042,-26.461540192591,31.186935932895,SZ,Hhohho,,Lobamba
197447458874449,18.462224328095,-69.610023546959,DO,Santo Domingo,Santo Domingo,Boca Chica
799369480717417,26.508365092498,67.673397990396,PK,Sindh,,Bhan
293862092366968,14.623198319257,121.00289596716,PH,Calabarzon,,Del Monte
849414943153728,6.9311704,158.23741199999998,FM,Pohnpei,Kolonia Municipality,Kolonia
170729448312223,31.184467156456,121.49214524951,CN,Shanghai Shi,,Luwan
479924466789350,17.086557613115,-88.603770313716,BZ,Cayo,,Belmopan
304953117670655,6.1830238445421,80.295051618219,LK,Southern,,Galle
812572942718406,42.434961667643,18.848470516038,ME,Cetinje,,Cetinje
972752486828150,61.903556249206,-6.8919900393937,FO,Sandoy,,Sandur
960615918042871,8.5667610022416,16.051865017708,TD,Logone Occidental,,Moundou
1028558997673243,-7.7663031547857,110.39194012586,ID,Daerah Istimewa Yogyakarta,,Yogyakarta
312424627118799,16.035833333333,-61.665555555556,GP,Guadeloupe,Guadeloupe,Saint-Claude
1177379556042190,43.933274754561,12.446279216948,SM,San Marino,,San Marino
172384624761974,6.8786399991044,79.873747009749,LK,Western,,Pita Kotte
774876743416875,10.135358774748,35.123325776293,ET,Oromiya,,Mendi
478340670103096,32.897418801664,13.318457592753,LY,Tripoli,,Tagiura
4360883090630429,22.13807795248,113.56310960176,MO,Macau,,Macau
264455948704800,4.8890081360488,114.85860238399,BN,Brunei and Muara,,Bandar Seri Begawan
250761983405911,19.340997255374,103.53984496329,LA,Xiangkhoang,,Muang Phonsavan
246589360577097,-8.771273864306,160.69878423181,SB,Malaita,,Auki
1144725265991561,13.133131729109,-59.623353061241,BB,Saint Michael,,Bridgetown
